pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Received at: 2019-06-22 15:01:17.493154 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.509059 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.525055 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.525109 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.541062 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.541130 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '1A', 'A5', 'A7', '99', '0F']
Received at: 2019-06-22 15:01:17.557063 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.557120 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.573046 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.589021 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.604970 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.605027 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.621010 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.621070 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.637004 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.637058 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.652978 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.668942 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.684917 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.684974 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.700957 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
Received at: 2019-06-22 15:01:17.701011 ['61', '8E', '80', 'C0', '80', '80', '80', '80', 'D0', '0F']
Received at: 2019-06-22 15:01:17.716940 ['60', 'C0', 'BF', '80', 'AC', '80', '84', '80', 'F0', '0F']
