Received at: 2019-04-03 17:10:34.731951 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.747956 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.763905 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.763961 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.779943 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.780020 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.795901 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.795960 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.811883 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.827852 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.843830 ['60', '80', 'C2', '80', '80', '80', '84', '80', 'D9']
Received at: 2019-04-03 17:10:34.843889 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.859864 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.859915 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.875860 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.875934 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.891798 ['60', '80', 'C2', '80', '81', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:34.907787 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.923748 ['60', '80', 'C2', '80', '84', '80', '84', '80', 'D5']
Received at: 2019-04-03 17:10:34.923802 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.939791 ['60', '80', 'C2', '80', '85', '80', '84', '80', 'D4']
Received at: 2019-04-03 17:10:34.939843 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.955815 ['60', '80', 'C2', '80', '87', '80', '84', '80', 'D2']
Received at: 2019-04-03 17:10:34.955890 ['61', '92', '80', 'C0', 'A0', '80', '80', '86', 'A6']
Received at: 2019-04-03 17:10:34.971792 ['60', '80', 'C3', '80', '81', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:34.987715 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.003702 ['60', '80', 'C3', '80', '81', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:35.003757 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.019715 ['60', '80', 'C3', '80', '81', '80', '84', '80', 'D7']
Received at: 2019-04-03 17:10:35.019769 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.035700 ['60', '80', 'C3', '80', '80', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:35.035753 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.051714 ['60', '80', 'C3', '80', '80', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:35.067660 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.083655 ['60', '80', 'C3', '80', '80', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:35.083732 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.099654 ['60', '80', 'C3', '80', '80', '80', '84', '80', 'D8']
Received at: 2019-04-03 17:10:35.099707 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.115642 ['60', '80', 'C3', '80', '82', '80', '84', '80', 'D6']
Received at: 2019-04-03 17:10:35.115696 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.131632 ['60', '8A', 'C4', '80', 'A5', '80', '84', '80', 'A8']
Received at: 2019-04-03 17:10:35.147642 ['61', '92', '80', 'C0', 'A0', '80', '80', '87', 'A5']
Received at: 2019-04-03 17:10:35.163576 ['60', '9F', 'C6', '80', '8A', '80', '84', '80', 'AC']
