Received at: 2019-04-03 16:17:28.387620 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.403544 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.403595 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.419538 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.435546 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.451518 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:17:28.451569 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.467524 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.467575 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.483559 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:17:28.483638 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.499502 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.515482 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '81', '83']
Received at: 2019-04-03 16:17:28.531483 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.531536 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:28.547460 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.547512 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:28.563461 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.563513 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:28.579456 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.595435 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:28.611465 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
Received at: 2019-04-03 16:17:28.611552 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:28.627462 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:17:28.627539 ['61', 'B1', '89', 'C0', 'A0', '80', '80', '80', '84']
Received at: 2019-04-03 16:17:28.643458 ['60', 'C1', 'BE', '80', '9D', '80', '84', '80', 'FF']
