Received at: 2019-04-02 16:07:43.012376 ['61', '92', '80', 'C0', 'A0', '80', '80', '81', 'AB']
Received at: 2019-04-02 16:07:43.012426 ['60', 'C1', '9D', '80', '9C', '80', '84', '80', 'A1']
Received at: 2019-04-02 16:07:43.028408 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.044396 ['60', 'C1', '9D', '80', '9B', '80', '84', '80', 'A2']
Received at: 2019-04-02 16:07:43.044451 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.060392 ['60', 'C1', '9D', '80', 'A3', '80', '84', '80', '9A']
Received at: 2019-04-02 16:07:43.060443 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.076368 ['60', 'C1', '9D', '80', '9B', '80', '84', '80', 'A2']
Received at: 2019-04-02 16:07:43.092329 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.092381 ['60', 'C1', '9D', '80', '93', '80', '84', '80', 'AA']
Received at: 2019-04-02 16:07:43.108336 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.124350 ['60', 'C1', '9D', '80', '94', '80', '84', '80', 'A9']
Received at: 2019-04-02 16:07:43.124401 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.140322 ['60', 'C1', '9D', '80', '94', '80', '84', '80', 'A9']
Received at: 2019-04-02 16:07:43.140372 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.156328 ['60', 'C1', '9D', '80', '8B', '80', '84', '80', 'B2']
Received at: 2019-04-02 16:07:43.172287 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.172337 ['60', 'C1', '9D', '80', '8A', '80', '84', '80', 'B3']
Received at: 2019-04-02 16:07:43.188320 ['61', '92', '80', 'C0', 'A0', '80', '80', '82', 'AA']
Received at: 2019-04-02 16:07:43.204327 ['60', 'C1', '9D', '80', '83', '80', '84', '80', 'BA']
Received at: 2019-04-02 16:07:43.204379 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.220330 ['60', 'C1', '9D', '80', '82', '80', '84', '80', 'BB']
Received at: 2019-04-02 16:07:43.220381 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.236330 ['60', 'C1', '9D', '80', '83', '80', '84', '80', 'BA']
Received at: 2019-04-02 16:07:43.252221 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.252272 ['60', 'C1', '9D', '80', '8A', '80', '84', '80', 'B3']
Received at: 2019-04-02 16:07:43.268259 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.284260 ['60', 'C1', '9D', '80', '8A', '80', '84', '80', 'B3']
Received at: 2019-04-02 16:07:43.284310 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.300240 ['60', 'C1', '9D', '80', '83', '80', '84', '80', 'BA']
Received at: 2019-04-02 16:07:43.300290 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.316245 ['60', 'C0', '9D', '80', 'B3', '80', '84', '80', '8B']
Received at: 2019-04-02 16:07:43.316352 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.332213 ['60', 'C0', '9D', '80', 'A3', '80', '84', '80', '9B']
Received at: 2019-04-02 16:07:43.348219 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.364192 ['60', 'C0', '9D', '80', 'A2', '80', '84', '80', '9C']
Received at: 2019-04-02 16:07:43.364243 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.380200 ['60', 'C0', '9D', '80', 'A2', '80', '84', '80', '9C']
Received at: 2019-04-02 16:07:43.380249 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.396199 ['60', 'C0', '9D', '80', 'A2', '80', '84', '80', '9C']
Received at: 2019-04-02 16:07:43.396248 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.412170 ['60', 'C0', '9C', '80', 'A5', '80', '84', '80', '9A']
Received at: 2019-04-02 16:07:43.428180 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.444151 ['60', 'C0', '9B', '80', 'A6', '80', '84', '80', '9A']
Received at: 2019-04-02 16:07:43.444204 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.460157 ['60', 'C0', '9B', '80', '96', '80', '84', '80', 'AA']
Received at: 2019-04-02 16:07:43.460208 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
Received at: 2019-04-02 16:07:43.476134 ['60', 'C0', '9B', '80', '8E', '80', '84', '80', 'B2']
Received at: 2019-04-02 16:07:43.476185 ['61', '92', '80', 'C0', 'A0', '80', '80', '83', 'A9']
